Mailer,Image Role,Alt Text,Image URL,Contains Product Packet,Final Changed Image URL
PP7,Logo,VAHDAM UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP7,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP7,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP7,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP7,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP8,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP8,Content image,"Your VAHDAM Ashwagandha Coffee second pack, the start of Month 2",https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/c60e1366-c8fb-4df5-a28a-2241f0fefb35.png,Yes,
PP8,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP8,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP8,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP8,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP9,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP9,Content image,"Past the Week 4 milestone — belly lighter, cravings starting to soften",https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/af3b5b28-5a9f-4176-a99f-e6cf64a85e2a.png,Likely,
PP9,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP9,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP9,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP9,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP10,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP10,Content image,44 days into the daily ritual — the part where most women wonder if it,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/97640c82-7716-4ad5-95cc-801ca0318ba4.png,Likely,
PP10,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP10,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP10,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP10,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP11,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP11,Content image,Fifty cups in — fourteen days from the visible waistline change,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f0ddf95b-f329-4e53-9da1-73d1c4abc737.png,Likely,
PP11,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP11,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP11,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP11,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP12,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP12,Content image,VAHDAM Rover travel bottle — your Month 3 gift,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/e4c99b03-cf4e-464b-b1aa-8877e8050931.png,No (gift: Rover bottle),
PP12,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP12,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP12,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP12,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP13,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP13,Content image,Sixty cups in — the start of the waistline window,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/3887fae1-3e82-4494-87a6-875c8d35f934.png,Likely,
PP13,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP13,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP13,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP13,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP14,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP14,Content image,Seventy mornings of the VAHDAM Ashwagandha Coffee ritual,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/bbf7bfd3-7cda-49b0-a3cc-ede705017416.png,Likely,
PP14,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP14,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP14,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP14,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP15,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP15,Content image,75 mornings of VAHDAM Ashwagandha Coffee — the quiet shifts adding up,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/09ad5d23-0242-4c7f-af15-2e5ce9b490d2.png,Likely,
PP15,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP15,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP15,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP15,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP16,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP16,Content image,VAHDAM Cosmos dual-walled borosilicate glass — your Month 4 gift,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/e76fa83c-f4a1-49f0-85dc-d74245a94eaa.png,No (gift: Cosmos glass),
PP16,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP16,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP16,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP16,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP17,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP17,Content image,Four days from the Week 12 milestone — the waistline window,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/8e247868-45be-42b5-8e6c-6d3c3733a8af.png,Likely,
PP17,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP17,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP17,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP17,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP18,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP18,Content image,"Day 90 — the ritual settled in, and the months ahead where it deepens",https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/030425c7-ebb2-4a89-9913-c0075eaca0af.png,Likely,
PP18,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP18,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP18,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP18,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP19,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP19,Content image,Day 100 — in the 15% who stayed the course,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/c60e1366-c8fb-4df5-a28a-2241f0fefb35.png,Yes,
PP19,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP19,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP19,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP19,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP20,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP20,Content image,"Day 106 — the daily ritual, months in",https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/33b3eafc-8460-448d-9433-ff732c5a36fa.png,Likely,
PP20,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP20,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP20,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP20,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP21,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP21,Content image,VAHDAM herbal tea sampler — your Month 5 gift,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/0231cbad-d1e1-4277-86a9-620a578cb4b7.png,No (gift: tea sampler),
PP21,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP21,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP21,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP21,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP22,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP22,Content image,Four months of the VAHDAM Ashwagandha Coffee ritual — your new normal,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/414b03b7-ec24-4a7e-8c1d-77d3350c9dcc.png,Likely,
PP22,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP22,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP22,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP22,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
